City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Diffa,NE,13.32,12.61,80.44,59,77,8.39,broken clouds
163,Muravlenko,RU,63.79,74.52,61.77,67,93,16.84,overcast clouds
164,Savannah Bight,HN,16.45,-85.85,84.36,67,97,3.49,overcast clouds
165,Cuamba,MZ,-14.8,36.54,64.63,69,0,6.31,clear sky
166,Kodiak,US,57.79,-152.41,60.8,67,75,6.93,broken clouds
167,Saint-Joseph,RE,-21.37,55.62,62.6,77,20,6.93,few clouds
168,Ullapool,GB,57.9,-5.16,52.0,94,19,0.65,few clouds
169,Boa Vista,BR,2.82,-60.67,80.6,78,20,3.36,few clouds
170,Trindade,BR,-16.65,-49.49,71.6,64,0,3.36,clear sky
171,Kapoeta,SS,4.77,33.59,72.54,83,99,2.98,overcast clouds
172,Krasnoslobodsk,RU,48.71,44.57,66.0,55,51,8.95,broken clouds
173,Udachnyy,RU,66.42,112.4,50.0,93,90,4.47,mist
174,Palana,RU,59.12,159.97,52.21,98,100,6.64,light rain
175,Wolsztyn,PL,52.12,16.12,64.99,86,100,4.76,light rain
176,Vila Franca Do Campo,PT,37.72,-25.43,71.6,94,75,17.22,light intensity shower rain
177,North Bend,US,43.41,-124.22,66.0,82,1,12.75,clear sky
178,Naliya,IN,23.27,68.83,83.88,82,97,8.77,overcast clouds
179,Alice Springs,AU,-23.7,133.88,64.4,23,0,9.17,clear sky
180,Atar,MR,20.52,-13.05,91.47,35,8,12.08,clear sky
181,Gat,IL,31.61,34.76,75.99,92,0,5.99,clear sky
182,Airai,TL,-8.93,125.41,75.43,34,2,4.36,clear sky
183,Umm Lajj,SA,25.02,37.27,84.63,57,20,7.47,few clouds
184,Aspindza,GE,41.57,43.25,58.14,74,99,3.18,light rain
185,Constitucion,CL,-35.33,-72.42,46.87,77,36,9.51,scattered clouds
186,Dongsheng,CN,39.82,109.98,70.16,48,0,8.05,clear sky
187,Grindavik,IS,63.84,-22.43,51.8,93,75,13.87,broken clouds
188,Tabas,IR,33.6,56.92,82.4,21,0,4.7,clear sky
189,Sokoni,TZ,-6.43,39.55,73.4,94,40,7.78,scattered clouds
190,Port Hardy,CA,50.7,-127.42,60.8,82,75,4.7,broken clouds
191,Luanda,AO,-8.84,13.23,68.0,88,40,2.24,scattered clouds
192,Ixtapa,MX,20.7,-105.2,78.8,94,90,1.86,moderate rain
193,Akhalgori,GE,42.13,44.48,69.8,64,40,4.61,scattered clouds
194,Baker City,US,44.77,-117.83,84.2,39,1,9.17,clear sky
195,Launceston,AU,-41.45,147.17,54.0,76,90,14.99,overcast clouds
196,Portland,US,45.52,-122.68,82.4,42,20,9.17,smoke
197,Pombia,IT,45.65,8.63,73.0,73,75,6.93,broken clouds
198,Yermakovskoye,RU,53.28,92.4,60.4,95,100,13.0,moderate rain
199,El Alto,PE,-4.27,-81.21,61.43,84,36,16.37,scattered clouds
200,Port Augusta,AU,-32.5,137.77,60.8,55,90,21.92,overcast clouds
201,Victoria,HK,22.29,114.16,81.0,78,40,20.8,light intensity shower rain
202,Kolokani,ML,13.57,-8.03,71.56,88,100,6.26,overcast clouds
203,Oranjestad,AW,12.52,-70.03,82.4,83,20,4.7,few clouds
204,Santa Maria,BR,-29.68,-53.81,58.78,93,16,1.72,light rain
205,Bilma,NE,18.69,12.92,91.92,15,0,8.52,clear sky
206,Neuquen,AR,-38.95,-68.06,42.8,45,90,10.29,overcast clouds
207,Choya,RU,52.01,86.55,71.6,62,0,0.63,clear sky
208,Aljezur,PT,37.32,-8.8,66.99,88,6,8.39,clear sky
209,Khash,IR,28.22,61.22,80.24,18,18,6.78,few clouds
210,Catanzaro,IT,38.89,16.6,77.0,78,29,9.17,scattered clouds
211,Berlevag,NO,70.86,29.09,50.29,83,90,9.42,overcast clouds
212,Japura,ID,-0.32,102.35,85.44,64,99,4.68,overcast clouds
213,Amapa,BR,1.0,-52.0,72.32,96,0,3.36,clear sky
214,Anadyr,RU,64.75,177.48,59.0,51,40,11.18,scattered clouds
215,Quelimane,MZ,-17.88,36.89,71.6,88,0,2.24,clear sky
216,Darnah,LY,32.77,22.64,75.42,84,0,9.91,clear sky
217,Santa Lucia,ES,27.91,-15.54,71.6,73,20,23.04,few clouds
218,Igarka,RU,67.47,86.58,68.41,45,0,12.28,clear sky
219,Ergolding,DE,48.58,12.17,59.0,93,40,3.36,light intensity shower rain
220,Sambava,MG,-14.27,50.17,65.34,83,49,7.78,scattered clouds
221,Kreuztal,DE,50.97,7.98,57.99,93,1,1.41,clear sky
222,Auki,SB,-8.77,160.7,84.31,74,84,4.97,light rain
223,Grande Prairie,CA,55.17,-118.8,68.0,45,20,25.28,few clouds
224,Comodoro Rivadavia,AR,-45.87,-67.5,37.4,51,0,10.29,clear sky
225,Ancud,CL,-41.87,-73.82,39.0,80,10,6.93,clear sky
226,Hwange,ZW,-18.37,26.5,57.99,29,0,7.31,clear sky
227,Saint George,US,37.1,-113.58,107.01,11,1,14.99,clear sky
228,Touros,BR,-5.2,-35.46,73.4,94,40,4.7,scattered clouds
229,Mackay,AU,-21.15,149.2,88.0,57,10,16.11,clear sky
230,Dingzhou,CN,38.51,115.0,73.4,94,40,4.47,light rain
231,Belmonte,BR,-15.86,-38.88,73.4,78,20,8.05,few clouds
232,West Wendover,US,40.74,-114.07,95.0,14,1,4.7,clear sky
233,Yinchuan,CN,38.47,106.27,75.76,39,0,3.69,clear sky
234,Padang,ID,-0.95,100.35,83.05,65,97,2.15,overcast clouds
235,Bud,US,39.45,-86.18,70.0,77,40,9.53,scattered clouds
236,Olinda,BR,-8.01,-34.86,77.0,69,20,11.41,few clouds
237,Kruisfontein,ZA,-34.0,24.73,48.4,80,82,16.78,light rain
238,Arkhangelskoye,RU,55.85,35.33,50.54,83,93,2.71,overcast clouds
239,Carai,BR,-17.19,-41.69,62.51,99,58,2.93,broken clouds
240,Nova Olimpia,BR,-14.8,-57.29,81.5,26,66,6.42,broken clouds
241,Porto Novo,BJ,6.5,2.6,75.2,94,40,10.29,scattered clouds
242,Aku,NG,6.71,7.32,80.6,88,40,2.24,scattered clouds
243,Lulea,SE,65.58,22.15,59.0,100,35,9.17,scattered clouds
244,Beyneu,KZ,45.32,55.2,69.8,66,0,6.2,clear sky
245,Jonuta,MX,18.08,-92.13,77.11,91,100,2.48,overcast clouds
246,Flin Flon,CA,54.77,-101.86,65.66,78,0,5.64,light rain
247,Baherden,TM,38.44,57.43,80.6,23,0,4.54,clear sky
248,Khatanga,RU,71.97,102.5,53.47,57,0,15.95,clear sky
249,Road Town,VG,18.42,-64.62,84.0,86,14,5.99,few clouds
250,Tasiilaq,GL,65.61,-37.64,44.6,65,91,4.7,overcast clouds
251,Makakilo City,US,21.35,-158.09,87.8,45,75,13.87,broken clouds
252,Mahon,ES,39.89,4.27,73.4,88,33,3.36,scattered clouds
253,Havoysund,NO,71.0,24.66,48.2,100,100,9.17,overcast clouds
254,Hasaki,JP,35.73,140.83,93.0,66,75,3.36,broken clouds
255,Dingle,PH,11.0,122.67,83.16,78,98,5.77,overcast clouds
256,Port Blair,IN,11.67,92.75,84.02,75,95,13.8,overcast clouds
